|main_law|draft|category_law|reading|initiators|committee|link_to_votes|url
0|О бюджете Социального фонда Кыргызской Республики на 2023 год и плановый период 2024–2025 годов|О внесении изменений в Закон Кыргызской Республики|О проекте Закона|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-13379/23 от 23.10.2023|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223142948_21-12-2023 11-01 Голосование 4.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
1|О бюджете Социального фонда Кыргызской Республики на 2023 год и плановый период 2024–2025 годов|О внесении изменений в Закон Кыргызской Республики|О проекте Закона|вносится на третье чтение|инициатор – Председатель Кабинета Министров, вх. № 6-13379/23 от 23.10.2023|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143002_21-12-2023 11-01 Голосование 5.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
2|О бюджете Социального фонда Кыргызской Республики на 2024 год и плановый период 2025–2026 годов|О проекте Закона|Empty|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-13369/23 от 23.10.2023|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143015_21-12-2023 11-03 Голосование 6.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
3|О бюджете Социального фонда Кыргызской Республики на 2024 год и плановый период 2025–2026 годов|О проекте Закона|Empty|вносится на третье чтение|инициатор – Председатель Кабинета Министров, вх. № 6-13369/23 от 23.10.2023|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143025_21-12-2023 11-03 Голосование 7.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
4|О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Кодекс о неналоговых доходах, Кодекс о правонарушениях)|О проекте Закона|Empty|вносится на третье чтение|инициаторы – Председатель Кабинета Министров,вх. № 6-10373/23, от 17.07.23|Комитетом по правопорядку, борьбе с преступностью и противодействию коррупции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143044_21-12-2023 11-11 Голосование 8.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
5|О бюджете Фонда обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики на 2023 год и плановый период 2024–2025 годов|О внесении изменений в Закон Кыргызской Республики|О проекте Закона|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-14458/23 от 17.11.2023|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143107_21-12-2023 11-52 Голосование 11.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
6|О бюджете Фонда обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики на 2023 год и плановый период 2024–2025 годов|О внесении изменений в Закон Кыргызской Республики|О проекте Закона|вносится на третье чтение|инициатор – Председатель Кабинета Министров, вх. № 6-14458/23 от 17.11.2023|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143122_21-12-2023 11-53 Голосование 12.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
7|О бюджете Фонда обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики на 2024 год и плановый период 2025–2026 годов|О проекте Закона|Empty|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-13284/23 от 20.10.2023|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143134_21-12-2023 11-54 Голосование 13.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
8|О бюджете Фонда обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики на 2024 год и плановый период 2025–2026 годов|О проекте Закона|Empty|вносится на третье чтение|инициатор – Председатель Кабинета Министров, вх. № 6-13284/23 от 20.10.2023|Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143516_21-12-2023 11-54 Голосование 14.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
9|Об избрании депутата Жогорку Кенеша в состава Совета по делам правосудия Кыргызской Республики|Empty|Empty|NO|NO|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223143542_21-12-2023 12-45 Голосование 17.pdf|http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
