,main_law,draft,category_law,reading,initiators,committee,link_to_votes,url,Абдалиев М.А.,Абдибаева А.Н.,Ажибаев Ч.И.,Азыгалиев Н.А.,Айдарбеков Ч.А.,Айдарова А.А.,Айжигитов С.А.,Акаев Ж.К.,Алиев М.К.,Алимбеков Н.К.,Алимжанов Ф.А.,Алимжанова Н.Я.,Алтынбеков А.,Атажанов Ы.Ы.,Атазов Ш.К.,Атамбаев С.А.,Ашимова Д.А.,Бакасов У.Б.,Бекешев Д.Д.,Боронбаев А.Ж.,Джумабеков Д.А.,Джусупов Э.Р.,Жакышов Р.Ш.,Жамгырчиев Э.Э.,Икрамов Т.И.,Исаева Дж.К.,Исатбек к.А.,Исираилов А.А.,Кадырбеков Н.К.,Кенжебаев А.Б.,Кожокулова Г.А.,Козуев А.А.,Кокулов Э.К.,Коргонбай у.Ж.,Култаева Г.О.,Кыдыкбаев Ж.С.,Лурова Л.Х.,Мадумаров А.К.,Мажитова Ш.,Малиев А.К.,Мамасадыков З.Д.,Маматалиев М.А.,Мамытов Т.Т.,Масабиров Т.А.,Масалиев И.А.,Маткеримов А.Т.,Матраимов И.И.,Молдобекова Г.С.,Мураталиев М.М.,Нарматова Н.А.,Нурбаев Ж.П.,Омурзаков С.А.,Ормонов У.З.,Осмонов А.Ж.,Примов У.Б.,Ражабалиев Н.А.,Раимбачаева В.К.,Рысбаев Р.Р.,Садырбаева Ж.Э.,Саккараев М.Дж.,Самаков К.К.,Самыйкожо М.,Сарбагышев М.К.,Сарыбашов Т.Н.,Сатыбалдиев Э.Р.,Сулайманов К.К.,Сулайманов Э.Н.,Султанбекова Ч.А.,Сурабалдиева Э.Ж.,Сыдыгалиев Н.О.,Сыдыков Б.У.,Сыдыков М.Ж.,Таалайбек к.Ж.,Талиева К.А.,Ташиев Ш.К.,Таштанбеков А.Д.,Темирбаева М.О.,Тентишев Б.Э.,Токторбаев Ж.Ш.,Токтошев Э.Т.,Толонов Д.Э.,Толонов Ч.Т.,Тулобаев Б.З.,Тумонбаев А.Т.,Турсунбаев А.А.,Ханджеза К.Л.,Чойбеков Б.К.,Шабазов Б.В.,Шакиев Н.Т.,Эрбаев А.Т.,Исмаилов Ф.Д.,Бакиров О.М.,Абиров Ж.Б.
0,О бюджете Социального фонда Кыргызской Республики на 2023 год и плановый период 2024–2025 годов,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-13379/23 от 23.10.2023","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/98/221223142948_21-12-2023 11-01 Голосование 4.pdf,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie,за,за,отсутствовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,,,
1,О бюджете Социального фонда Кыргызской Республики на 2023 год и плановый период 2024–2025 годов,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на третье чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-13379/23 от 23.10.2023","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/98/221223143002_21-12-2023 11-01 Голосование 5.pdf,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie,за,за,отсутствовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,не голосовала,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,,,
2,О бюджете Социального фонда Кыргызской Республики на 2024 год и плановый период 2025–2026 годов,О проекте Закона,Empty,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-13369/23 от 23.10.2023","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/98/221223143015_21-12-2023 11-03 Голосование 6.pdf,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie,за,за,отсутствовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,не голосовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,не голосовала,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,за,за,против,за,за,за,за,,,
3,О бюджете Социального фонда Кыргызской Республики на 2024 год и плановый период 2025–2026 годов,О проекте Закона,Empty,вносится на третье чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-13369/23 от 23.10.2023","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/98/221223143025_21-12-2023 11-03 Голосование 7.pdf,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie,за,за,отсутствовал,за,отсутствовал,отсутствовала,за,отсутствовал,не голосовал,не голосовал,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,не голосовала,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,не голосовал,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,не голосовал,не голосовал,за,за,за,за,за,за,не голосовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,не голосовал,за,за,отсутствовал,за,за,за,за,за,за,против,за,за,за,за,,,
4,"О внесении изменений в некоторые законодательные акты Кыргызской Республики (в Кодекс о неналоговых доходах, Кодекс о правонарушениях)",О проекте Закона,Empty,вносится на третье чтение,"инициаторы – Председатель Кабинета Министров,вх. № 6-10373/23, от 17.07.23","Комитетом по правопорядку, борьбе с преступностью и противодействию коррупции рассмотрен",http://kenesh.kg//uploads/media/default/0001/98/221223143044_21-12-2023 11-11 Голосование 8.pdf,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie,за,за,отсутствовал,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,не голосовала,за,за,против,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,отсутствовал,за,за,за,за,против,за,за,за,за,за,за,,,
5,О бюджете Фонда обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики на 2023 год и плановый период 2024–2025 годов,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-14458/23 от 17.11.2023","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/98/221223143107_21-12-2023 11-52 Голосование 11.pdf,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie,за,за,отсутствовал,за,за,отсутствовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,не голосовала,за,не голосовал,за,за,за,отсутствовал,за,за,за,не голосовал,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,,
6,О бюджете Фонда обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики на 2023 год и плановый период 2024–2025 годов,О внесении изменений в Закон Кыргызской Республики,О проекте Закона,вносится на третье чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-14458/23 от 17.11.2023","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/98/221223143122_21-12-2023 11-53 Голосование 12.pdf,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie,за,за,отсутствовал,за,за,отсутствовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,не голосовала,за,не голосовал,за,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,не голосовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,,
7,О бюджете Фонда обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики на 2024 год и плановый период 2025–2026 годов,О проекте Закона,Empty,вносится на второе чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-13284/23 от 20.10.2023","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/98/221223143134_21-12-2023 11-54 Голосование 13.pdf,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie,за,за,отсутствовал,за,за,отсутствовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,,
8,О бюджете Фонда обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики на 2024 год и плановый период 2025–2026 годов,О проекте Закона,Empty,вносится на третье чтение,"инициатор – Председатель Кабинета Министров, вх. № 6-13284/23 от 20.10.2023","Комитетом по бюджету, экономической и фискальной политике рассмотрен",http://kenesh.kg//uploads/media/default/0001/98/221223143516_21-12-2023 11-54 Голосование 14.pdf,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie,за,за,отсутствовал,за,за,отсутствовала,не голосовал,отсутствовал,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,отсутствовал,за,за,не голосовал,за,за,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,,
9,Об избрании депутата Жогорку Кенеша в состава Совета по делам правосудия Кыргызской Республики,Empty,Empty,NO,NO,"Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен",http://kenesh.kg//uploads/media/default/0001/98/221223143542_21-12-2023 12-45 Голосование 17.pdf,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie,за,за,за,за,отсутствовал,отсутствовала,не голосовал,отсутствовал,не голосовал,за,отсутствовал,за,за,за,за,за,не голосовала,за,за,за,за,за,за,отсутствовал,отсутствовал,за,за,за,не голосовал,за,отсутствовала,за,за,за,за,за,за,отсутствовал,не голосовала,за,не голосовал,за,не голосовал,за,отсутствовал,за,за,за,за,за,за,за,за,за,за,за,не голосовала,за,за,за,за,за,за,за,за,за,за,за,отсутствовала,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,за,не голосовал,за,за,,,
