,page_links
0,http://kenesh.kg/ru/article/show/11579/zakonoproekti-rassmotrennie-21-dekabrya-2023-goda-i-vnesennie-na-golosovanie
1,http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
2,http://kenesh.kg/ru/article/show/11546/zakonoproekti-rassmotrennie-14-dekabrya-2023-goda-i-vnesennie-na-golosovanie
3,http://kenesh.kg/ru/article/show/11545/zakonoproekti-rassmotrennie-13-dekabrya-2023-goda-i-vnesennie-na-golosovanie
4,http://kenesh.kg/ru/article/show/11496/zakonoproekti-rassmotrennie-7-dekabrya-2023-goda-i-vnesennie-na-golosovanie
5,http://kenesh.kg/ru/article/show/11495/zakonoproekti-rassmotrennie-6-dekabrya-2023-goda-i-vnesennie-na-golosovanie
6,http://kenesh.kg/ru/article/show/11435/zakonoproekti-rassmotrennie-30-noyabrya-2023-goda-i-vnesennie-na-golosovanie
7,http://kenesh.kg/ru/article/show/11434/zakonoproekti-rassmotrennie-29-noyabrya-2023-goda-i-vnesennie-na-golosovanie
8,http://kenesh.kg/ru/article/show/11421/zakonoproekti-rassmotrennie-23-noyabrya-2023-goda-i-vnesennie-na-golosovanie
9,http://kenesh.kg/ru/article/show/11420/zakonoproekti-rassmotrennie-22-noyabrya-2023-goda-i-vnesennie-na-golosovanie
10,http://kenesh.kg/ru/article/show/11375/zakonoproekti-rassmotrennie-15-noyabrya-2023-goda-i-vnesennie-na-golosovanie
11,http://kenesh.kg/ru/article/show/11332/zakonoproekti-rassmotrennie-2-noyabrya-2023-goda-i-vnesennie-na-golosovanie
12,http://kenesh.kg/ru/article/show/11330/zakonoproekti-rassmotrennie-1-noyabrya-2023-goda-i-vnesennie-na-golosovanie
13,http://kenesh.kg/ru/article/show/11322/zakonoproekti-rassmotrennie-26-oktyabrya-2023-goda-i-vnesennie-na-golosovanie
14,http://kenesh.kg/ru/article/show/11321/zakonoproekti-rassmotrennie-25-oktyabrya-2023-goda-i-vnesennie-na-golosovanie
15,http://kenesh.kg/ru/article/show/11268/zakonoproekti-rassmotrennie-19-oktyabrya-2023-goda-i-vnesennie-na-golosovanie
16,http://kenesh.kg/ru/article/show/11254/zakonoproekti-rassmotrennie-18-oktyabrya-2023-goda-i-vnesennie-na-golosovanie
17,http://kenesh.kg/ru/article/show/11215/zakonoproekti-rassmotrennie-11-oktyabrya-2023-goda-i-vnesennie-na-golosovanie
18,http://kenesh.kg/ru/article/show/11188/zakonoproekti-rassmotrennie-5-oktyabrya-2023-goda-i-vnesennie-na-golosovanie
19,http://kenesh.kg/ru/article/show/11185/zakonoproekti-rassmotrennie-4-oktyabrya-2023-goda-i-vnesennie-na-golosovanie
20,http://kenesh.kg/ru/article/show/11138/zakonoproekti-rassmotrennie-28-sentyabrya-2023-goda-i-vnesennie-na-golosovanie
21,http://kenesh.kg/ru/article/show/11137/zakonoproekti-rassmotrennie-27-sentyabrya-2023-goda-i-vnesennie-na-golosovanie
