,tr_main_law,tr_draft,tr_category
0,On the budget of the Social Fund of the Kyrgyz Republic for 2023 and the planning period 2024-2025,On amendments to the Law of the Kyrgyz Republic,About the draft Law
1,On the budget of the Social Fund of the Kyrgyz Republic for 2023 and the planning period 2024-2025,On amendments to the Law of the Kyrgyz Republic,About the draft Law
2,On the budget of the Social Fund of the Kyrgyz Republic for 2024 and the planning period 2025-2026,About the draft Law,Empty
3,On the budget of the Social Fund of the Kyrgyz Republic for 2024 and the planning period 2025-2026,About the draft Law,Empty
4,"On amendments to some legislative acts of the Kyrgyz Republic (the Code of Non-tax Revenues, the Code of Offenses)",About the draft Law,Empty
5,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2023 and the planning period 2024-2025,On amendments to the Law of the Kyrgyz Republic,About the draft Law
6,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2023 and the planning period 2024-2025,On amendments to the Law of the Kyrgyz Republic,About the draft Law
7,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2024 and the planning period 2025-2026,About the draft Law,Empty
8,On the budget of the Compulsory Medical Insurance Fund under the Ministry of Health of the Kyrgyz Republic for 2024 and the planning period 2025-2026,About the draft Law,Empty
9,On the election of the deputy of the Jogorku Kenesh to the Council for Justice of the Kyrgyz Republic,Empty,Empty
10,About the commodity exchange and exchange trading in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
11,On investing funds to finance the funded part of the state social insurance pension in the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
12,About gambling activities in the Kyrgyz Republic,On the draft Law On Amendments to the Law of the Kyrgyz Republic,Empty
13,About financial lease (leasing)),"On amendments to some legislative acts of the Kyrgyz Republic (the Civil Code, the Law",About the draft Law
14,On the Regulations of the Jogorku Kenesh of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
15,About the basics of Waqf (waqf),About the draft Law,Empty
16,On amendments to some legislative acts of the Kyrgyz Republic on green ecology,About the draft Law,Empty
17,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Azerbaijan on investments for the construction of a five-star hotel on the shore of Lake Issyk-Kul, signed on October 12, 2023 in Bishkek",About the draft Law,Empty
18,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Azerbaijan on investments for the construction of a five-star hotel on the shore of Lake Issyk-Kul, signed on October 12, 2023 in Bishkek",About the draft Law,Empty
19,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Government of the Republic of Azerbaijan on investments for the construction of a five-star hotel on the shore of Lake Issyk-Kul, signed on October 12, 2023 in Bishkek",About the draft Law,Empty
20,"About the subsoil"", About biosphere territories"")""",About the draft Law,On amendments to some legislative acts of the Kyrgyz Republic (Laws
21,On approval of the Regulations on the Committee of the Jogorku Kenesh of the Kyrgyz Republic (standard sample),On the draft resolution of the Jogorku Kenesh,Empty
22,On approval of Model Regulations on the parliamentary faction and deputy group of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
23,On approval of the Regulations on temporary commissions of the Jogorku Kenesh of the Kyrgyz Republic,On the draft resolution of the Jogorku Kenesh,Empty
24,About the state symbols of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
25,About the state symbols of the Kyrgyz Republic,On amendments to the Law of the Kyrgyz Republic,About the draft Law
26,About the State civil service and municipal service,On amendments to the Law of the Kyrgyz Republic,About the draft Law
27,On amendments to some legislative acts of the Kyrgyz Republic on citizenship issues,About the draft Law,Empty
28,"On the elections of the President of the Kyrgyz Republic and deputies of the Jogorku Kenesh of the Kyrgyz Republic"", On the Prosecutor's Office of the Kyrgyz Republic"", On the status of judges of the Kyrgyz Republic"")",About the draft Law,On amendments to some constitutional laws of the Kyrgyz Republic (constitutional laws
29,On the accession of the Kyrgyz Republic to the Convention on the Transfer of Convicted Persons,About the draft Law,Empty
30,"On ratification of the Agreement on Mutual Recognition of Bank Guarantees in the Implementation of State (Municipal) Purchases within the framework of the Eurasian Economic Union, signed on August 29, 2023 in Moscow",About the draft Law,Empty
31,"On the ratification of the Agreement on the Rules for the Issuance (Issuance), Circulation and Repayment of Warehouse Certificates for Agricultural Products within the framework of the Eurasian Economic Union, signed on July 31, 2023 in Moscow",About the draft Law,Empty
32,"On the ratification of the Agreement between the Cabinet of Ministers of the Kyrgyz Republic and the Global Green Growth Institute on the Legal Status, Privileges and Immunities of the Global Green Growth Institute (GGGI), signed on April 27, 2023 in Bishkek",About the draft Law,Empty
33,"About narcotic drugs, psychotropic substances, their analogues and precursors",About the draft Law,Empty
34,On amendments to the Criminal Procedure Code of the Kyrgyz Republic,About the draft Law,Empty
35,"On the ratification of the Memorandum of Obligations of the Republic of Belarus in order to obtain the status of a member State of the Shanghai Cooperation Organization, signed on July 4, 2023 in New Delhi",About the draft Law,Empty
